game_name,title,view,dm,like,coin,collect,share,upload_date,url
X战警前传：金刚狼,X战警前传：金刚狼 全剧情流程解说,1.4万 ,125,249,83,176,11,2020-11-26,https://www.bilibili.com/video/BV1ky4y1q7tG
X战警前传：金刚狼,（完结）【合集】《X战警前传：金刚狼》怀念向全剧情流程,4551 ,3,50,15,42,5,2021-12-09,https://www.bilibili.com/video/BV1Rb4y1B7sC
X战警前传：金刚狼,X战警前传金刚狼,13.8万 ,177,580,69,415,28,2018-01-23,https://www.bilibili.com/video/BV12W411Y7dQ
X战警前传：金刚狼,【NPC】X战警前传：金刚狼,5.9万 ,421,371,110,539,47,2017-06-17,https://www.bilibili.com/video/BV1Nx411h7B1
X战警前传：金刚狼,手机 试玩×战警前传：金刚狼,474 ,0,3,投币,收藏,分享,2021-09-20,https://www.bilibili.com/video/BV17U4y1A7Gs
X战警前传：金刚狼,【经典老游】《X战警前传：金刚狼》“问题不大多眨两眼就好”,465 ,1,32,16,6,8,2022-01-31,https://www.bilibili.com/video/BV1KL4y147GV
X战警前传：金刚狼,【动画赏】《X战警前传：金刚狼》CG动画4P合集（2009）,1.7万 ,112,170,20,303,47,2018-09-05,https://www.bilibili.com/video/BV1qW411Z7cD
X战警前传：金刚狼,被埋没的佳作？|X战警：金刚狼前传,9123 ,21,215,92,55,9,2019-04-07,https://www.bilibili.com/video/BV1Hb411u7dw
X战警前传：金刚狼,PSP《X战警前传 金刚狼》狼叔又回来啦,2796 ,0,36,12,9,3,2020-08-12,https://www.bilibili.com/video/BV1ct4y1Q7bA
X战警前传：金刚狼,X战警金刚狼前传,320 ,0,5,投币,1,分享,2021-11-07,https://www.bilibili.com/video/BV1nf4y1T7ip
X战警前传：金刚狼,X战警前传经典金刚狼全剧情,1845 ,0,15,2,9,2,2020-06-01,https://www.bilibili.com/video/BV1Lt4y1y7Q6
X战警前传：金刚狼,PS3经典漫威游戏：X战警前传：金刚狼试玩,692 ,0,13,投币,1,3,2021-08-01,https://www.bilibili.com/video/BV1tL411n7JV
X战警前传：金刚狼,金刚狼与X战警 第1季 第1-5集,3.9万 ,608,89,24,535,21,2010-07-22,https://www.bilibili.com/video/BV1nx411c7db
X战警前传：金刚狼,以太PS2 试玩（ X战警前传，金刚狼）游戏比较吃配置,235 ,0,5,投币,收藏,分享,2022-03-24,https://www.bilibili.com/video/BV1xZ4y1B7qr
X战警前传：金刚狼,[裸眼3D]X战警前传：金刚狼完整版[完结],1.3万 ,4,126,35,136,13,2020-06-14,https://www.bilibili.com/video/BV12K411p7Ap
X战警前传：金刚狼,《奇异博士2》金刚狼休杰克曼回归！漫威正式引入X战警，《蜘蛛侠3英雄无归》之后全面打开多元宇宙大门！,7.3万 ,32,2327,27,199,366,2022-01-21,https://www.bilibili.com/video/BV1RZ4y1f7TP
X战警前传：金刚狼,【X战警：天启】逆转未来后金刚狼还是没逃过被实验改造的命运,5.0万 ,106,272,13,104,25,2018-02-28,https://www.bilibili.com/video/BV1yW411s7n8
X战警前传：金刚狼,《X战警前传：金刚狼》CG动画,4.2万 ,76,116,12,254,25,2018-02-17,https://www.bilibili.com/video/BV1uW411J7GJ
X战警前传：金刚狼,金刚狼经典游戏《X战警前传：金刚狼》非技术向解说第三期（娱乐元素初尝试）,2.5万 ,80,269,87,73,50,2017-03-19,https://www.bilibili.com/video/BV1Rx411r7St
game_name,title,view,dm,like,coin,collect,share,upload_date,url
X战警前传：金刚狼,"女间谍与狼叔前传-你的命,我收回",1817 ,0,26,5,29,1,2021-07-10,https://www.bilibili.com/video/BV1T64y147Zd
X战警前传：金刚狼,【4K超宽屏21:9】《X战警1》金刚狼片段 来看看年轻的狼叔,1.4万 ,57,356,25,132,3,2020-09-24,https://www.bilibili.com/video/BV1RZ4y1N7p1
X战警前传：金刚狼,X战警史诗篇章！金刚狼被做成活体标本，万磁王X教授联手建国,50.4万 ,1037,2.1万,3824,2491,166,2021-09-10,https://www.bilibili.com/video/BV1BM4y1G7Mm
X战警前传：金刚狼,金刚狼目前唯一一部官方游戏,1.4万 ,120,300,22,47,4,2021-09-13,https://www.bilibili.com/video/BV1cf4y1n73U
X战警前传：金刚狼,PSP游戏X战警前传金刚狼，大战死侍，这游戏挺不错的,1170 ,0,15,10,5,分享,2019-04-22,https://www.bilibili.com/video/BV1Pb411G7KW
X战警前传：金刚狼,在几万度的高温下，金刚狼的血肉被烧融，X战警的肉体瞬间气化,63.1万 ,1409,2.6万,6524,3224,178,2021-09-20,https://www.bilibili.com/video/BV1rL411x7hP
X战警前传：金刚狼,《X战警：第一战》教授万磁王金刚狼,2.0万 ,8,295,7,25,17,2021-01-04,https://www.bilibili.com/video/BV1xy4y127Jp
game_name,title,view,dm,like,coin,collect,share,upload_date,url
X战警前传：金刚狼,狼叔与哥哥大战半成品死侍，5分钟看完电影《X战警前传：金刚狼》,1548 ,1,22,6,4,分享,2019-04-17,https://www.bilibili.com/video/BV1Yb411575r
X战警前传：金刚狼,就算你一部《X战警》都没看过，看完这个视频你也能了解金刚狼罗根的一生！,4.9万 ,524,1464,2123,1623,442,2018-06-14,https://www.bilibili.com/video/BV1wW411A77u
X战警前传：金刚狼,x战警前传：金刚狼 这游戏真的很逼真！,3487 ,0,11,5,10,14,2018-07-04,https://www.bilibili.com/video/BV1Es411V7c6
X战警前传：金刚狼,X战警前传传说中的金刚狼全剧情,1925 ,9,35,2,24,2,2020-05-19,https://www.bilibili.com/video/BV135411s7gF
X战警前传：金刚狼,金刚狼大战死侍,2.6万 ,29,456,10,53,5,2021-09-13,https://www.bilibili.com/video/BV1HL4y1a723
X战警前传：金刚狼,清风卷沙【完结】X战警前传：金刚狼,225 ,2,4,投币,3,分享,2021-10-21,https://www.bilibili.com/video/BV1qT4y1o7xF
X战警前传：金刚狼,死侍屠杀漫威宇宙（下）：金刚狼之死，X战警全体阵亡,26.7万 ,145,5140,280,267,13,2020-08-28,https://www.bilibili.com/video/BV15f4y1X7ML
X战警前传：金刚狼,诚实预告片：《X战警前传—金刚狼》,3.2万 ,322,6,2,97,10,2013-07-25,https://www.bilibili.com/video/BV1bs411f7HW
X战警前传：金刚狼,【暮狼寻乡III】金刚狼血腥大屠杀，X战警惨遭团灭，惨状不堪入目,3.1万 ,126,913,344,184,19,2019-04-07,https://www.bilibili.com/video/BV1gb411u7V1
X战警前传：金刚狼,x战警前传，金刚狼08,377 ,0,6,投币,1,分享,2020-02-04,https://www.bilibili.com/video/BV1u7411W7nb
X战警前传：金刚狼,【中英字幕】狼叔休杰克曼在拿到金刚狼的角色之后竟然做了这种事？！当场被海关抓包！【双语｜x战警｜漫威｜电影｜超级英雄】,1620 ,0,42,1,22,2,2022-04-03,https://www.bilibili.com/video/BV1wY4y1W7Ec
X战警前传：金刚狼,太爽了！手感极好！动视乌鸦打造的金刚狼唯一的一款官方游戏，动视漫威IP之一，十分的经典,2.6万 ,17,365,19,101,25,2021-08-27,https://www.bilibili.com/video/BV1Ky4y1G7oU
X战警前传：金刚狼,【java游戏】Ⅹ战警前传 金刚狼,377 ,0,25,13,6,1,2021-05-26,https://www.bilibili.com/video/BV1Hf4y1h71u
X战警前传：金刚狼,X战警前传：金刚狼 ｜纯英文剧情流程｜超清画质｜已完结,477 ,2,7,2,6,分享,2021-12-07,https://www.bilibili.com/video/BV1Pi4y1Z7t4
X战警前传：金刚狼,【花絮】X战警前传:金刚狼 死侍动作测试+电影对比.Test Moves For Wolverine(2009),6759 ,28,23,6,107,41,2016-01-23,https://www.bilibili.com/video/BV1Rs411R73V
X战警前传：金刚狼,x战警前传，金刚狼04,518 ,1,7,投币,1,分享,2020-02-04,https://www.bilibili.com/video/BV1Z7411p7nn
X战警前传：金刚狼,【名回】金刚狼还有游戏！！？ x战警前传金刚狼 游戏cg合集,1262 ,2,9,4,13,8,2018-07-30,https://www.bilibili.com/video/BV1As411w7gS
X战警前传：金刚狼,金刚狼：X战警背水一战,270 ,0,31,4,20,1,2022-04-01,https://www.bilibili.com/video/BV1Ba41147oq
X战警前传：金刚狼,X战警前传:金刚狼第四期,2815 ,3,1,3,4,5,2014-11-16,https://www.bilibili.com/video/BV1Dx411P76W
X战警前传：金刚狼,x战警前传，金刚狼05,542 ,1,6,2,5,分享,2020-02-04,https://www.bilibili.com/video/BV1S7411p7Rd
X战警前传：金刚狼,x战警前传，金刚狼07,550 ,0,3,投币,1,分享,2020-02-04,https://www.bilibili.com/video/BV177411W7Xj
X战警前传：金刚狼,X战警-金刚狼前传 X-Men Origins 第十六幕 维克多 兄弟的决战,333 ,0,4,投币,收藏,分享,2021-03-12,https://www.bilibili.com/video/BV1mz4y11778
X战警前传：金刚狼,死侍被缝上了嘴后身体也被改造成了机器，没有嘴炮的贱贱战斗力直线下降。《金刚狼1》【X战警系列】,55.8万 ,846,3977,1457,1279,149,2018-10-11,https://www.bilibili.com/video/BV1kt411f7CR
X战警前传：金刚狼,【好物分享】狼叔粉必入，好到语无伦次！？Marvel Legends 卡利班组合人套 X战警 X武器 金刚狼,4116 ,3,77,13,38,3,2022-02-19,https://www.bilibili.com/video/BV1NR4y1j7v9
X战警前传：金刚狼,【搬运】粉丝自制:X战警前传金刚狼,276 ,1,3,投币,3,1,2017-06-15,https://www.bilibili.com/video/BV1Zx41187o8
X战警前传：金刚狼,《X战警前传:金刚狼》牌皇,732 ,0,15,投币,3,1,2020-07-24,https://www.bilibili.com/video/BV1ah411o73n
X战警前传：金刚狼,X战警前传：金刚狼 片段2,88 ,0,2,投币,收藏,分享,2020-12-12,https://www.bilibili.com/video/BV17a4y1H74d
X战警前传：金刚狼,x战警前传，金刚狼03,440 ,0,5,投币,1,分享,2020-02-04,https://www.bilibili.com/video/BV1k7411p73T
X战警前传：金刚狼,X战警前传金刚狼1.2009片段,142 ,0,2,投币,2,分享,2021-01-26,https://www.bilibili.com/video/BV16v4y1f7st
X战警前传：金刚狼,【X战警：第一战/金刚狼2】X教授与万磁王一起招募金刚狼的两次,9.3万 ,521,670,45,612,60,2018-02-27,https://www.bilibili.com/video/BV15W411t7aM
X战警前传：金刚狼,"X战警-金刚狼前传 X-Men Origins (完结) 第十七幕 终结之战, 死侍 Deadpool",106 ,0,1,投币,收藏,1,2021-03-12,https://www.bilibili.com/video/BV1t5411K7Es
X战警前传：金刚狼,【分集】《X战警前传：金刚狼》CG剧情合集,554 ,1,7,1,2,分享,2019-07-18,https://www.bilibili.com/video/BV1Ct411J7ny
X战警前传：金刚狼,《X战警》系列前传：金刚狼 我叫罗根 是一只单身狗,2679 ,5,2,6,13,10,2016-06-14,https://www.bilibili.com/video/BV1Ws411q7F8
X战警前传：金刚狼,《X战警前传：金刚狼》所有BOSS战和结局动画,277 ,0,8,1,2,分享,2021-11-01,https://www.bilibili.com/video/BV1Uv411T7DG
X战警前传：金刚狼,X战警天启金刚狼登场,3389 ,10,18,3,12,6,2018-05-26,https://www.bilibili.com/video/BV1ip411R7uW
X战警前传：金刚狼,《x战警前传:金刚狼》——怀旧评论家,159 ,0,1,投币,收藏,分享,2019-03-28,https://www.bilibili.com/video/BV1xb411x7X1
X战警前传：金刚狼,x战警前传，金刚狼09,424 ,0,6,投币,3,分享,2020-02-04,https://www.bilibili.com/video/BV1u7411W7dv
X战警前传：金刚狼,【X战警花絮】X遗产：金刚狼与X战警（自压熟肉）,4485 ,103,79,39,306,18,2017-09-29,https://www.bilibili.com/video/BV15x411V7zE
X战警前传：金刚狼,漫威：五版X战警金刚狼植入艾德曼合金改造大对比（1992—2009）,4.9万 ,18,542,5,57,1,2020-08-25,https://www.bilibili.com/video/BV1gD4y1m7bk
X战警前传：金刚狼,X战警前传：金刚狼 精彩片段,695 ,2,4,投币,1,分享,2019-07-08,https://www.bilibili.com/video/BV1Q4411F7A6
X战警前传：金刚狼,X战警-金刚狼前传 X-Men Origins 第十四幕 狡猾的牌皇.勒博,90 ,0,3,投币,收藏,分享,2021-03-06,https://www.bilibili.com/video/BV1qA411T7aW
X战警前传：金刚狼,x战警前传，金刚狼暴揍剑齿虎,367 ,0,9,投币,2,2,2020-08-30,https://www.bilibili.com/video/BV1dA411n7vK
X战警前传：金刚狼,“X战警前传2”记者见面会 新老成员齐聚亲如一家,56 ,0,点赞,投币,收藏,分享,2021-02-25,https://www.bilibili.com/video/BV1ii4y1T7pq
X战警前传：金刚狼,X战警-金刚狼前传 X-Men Origins 第十二幕 原型机器的捣毁,49 ,0,1,投币,收藏,分享,2021-03-03,https://www.bilibili.com/video/BV1qy4y177EW
X战警前传：金刚狼,【x强】X战警前传:金刚狼 第6期,1484 ,2,点赞,投币,1,4,2011-10-12,https://www.bilibili.com/video/BV1Px411w7jb
