game_name,title,view,dm,like,coin,collect,share,upload_date,url
冰封王座,魔兽争霸：冰封王座【电影版】,40.6万 ,6452,1.3万,7712,1.1万,1054,2020-02-26,https://www.bilibili.com/video/BV1M7411M7ws
冰封王座,魔兽争霸3 冰封王座 战役剧情流程解说,71.1万 ,1.8万,7343,5435,8313,566,2017-04-21,https://www.bilibili.com/video/BV1cx411U7kd
冰封王座,【冰封王座的骑士】九职业过巫妖王平民卡组攻略-合集,9.3万 ,380,3350,2680,2973,241,2021-07-19,https://www.bilibili.com/video/BV1JX4y1c7hv
冰封王座,《魔兽争霸—冰封王座》人族吊打令人发狂的电脑，简单方法，吊打电脑。,3.0万 ,234,162,29,51,47,2017-10-22,https://www.bilibili.com/video/BV1Xx411M7MD
冰封王座,【炉石传说】冰封王座冒险模式通关攻略（九职业通关·完）,37.9万 ,4027,3190,1962,4167,861,2017-08-11,https://www.bilibili.com/video/BV1zx411n7vi
冰封王座,还记得冰封王座最后的阿尔萨斯加冕巫妖王的场景吗？魔兽争霸3冰封王座大结局极致超清画质提升版,6.2万 ,162,705,81,426,202,2019-09-28,https://www.bilibili.com/video/BV1jJ411u7t3
冰封王座,第一期：小白由零基础入坑到高手之路-魔兽争霸3冰封王座建筑对战视频教程,2.8万 ,44,651,269,358,86,2021-09-10,https://www.bilibili.com/video/BV1pv411w7G4
冰封王座,魔兽争霸3冰封王座：我终于打败疯狂电脑了！,1.6万 ,159,126,16,29,45,2019-02-14,https://www.bilibili.com/video/BV1Ab41127Es
冰封王座,魔兽争霸3冰封王座困难战役攻略合集,6.8万 ,2054,900,731,747,33,2019-01-26,https://www.bilibili.com/video/BV19t4114728
冰封王座,魔兽争霸3冰封王座下载和安装（附不限速下载链接）,1.1万 ,0,530,559,762,66,2022-02-27,https://www.bilibili.com/video/BV1M3411j7vM
冰封王座,《魔兽争霸3冰封王座》全剧情动画,25.6万 ,5265,1854,1510,5313,580,2016-10-23,https://www.bilibili.com/video/BV1Ps411t7Ce
冰封王座,【贱贱】《魔兽争霸3冰封王座》暗夜纯新手向，打中等难度,2.2万 ,213,129,65,43,35,2017-08-28,https://www.bilibili.com/video/BV1ox41147Zy
冰封王座,【无奈】魔兽争霸3冰封王座 四族兵种强度测试篇 第一期,2.0万 ,175,97,28,26,9,2018-07-20,https://www.bilibili.com/video/BV1ys411N7VN
冰封王座,《魔兽争霸3冰封王座》不死族狂热冰龙流（新手打电脑）,1.2万 ,38,102,15,12,10,2020-10-18,https://www.bilibili.com/video/BV1mt4y1v7QR
冰封王座,《魔兽争霸3冰封王座》人族vs兽族（新手打人机）,1.5万 ,122,186,23,19,11,2020-10-10,https://www.bilibili.com/video/BV1vi4y1j7Ud
冰封王座,100尘轻松过冰封王座巫妖王,6.8万 ,110,259,70,157,43,2019-06-08,https://www.bilibili.com/video/BV1b4411T7bp
冰封王座,【魔兽争霸3：冰封王座】全战役剧情故事流程（完结）,5.3万 ,299,688,417,800,61,2018-10-26,https://www.bilibili.com/video/BV1fb411P7DT
冰封王座,【魔兽】阿尔萨斯 迈向冰封王座,16.4万 ,1225,1013,443,1642,641,2018-07-10,https://www.bilibili.com/video/BV1zs411n77S
冰封王座,《炉石传说》全新扩展包宣传片“冰封王座的骑士”,28.6万 ,723,2318,855,1587,1382,2017-07-08,https://www.bilibili.com/video/BV1yx411z7BP
冰封王座,冰封王座最后一关战役,2.6万 ,366,29,27,48,17,2017-10-28,https://www.bilibili.com/video/BV1ox41177dB
冰封王座,魔兽争霸3【重制版】【冰封王座】剧情战役全集（完结）,10.2万 ,1978,971,458,971,63,2020-01-31,https://www.bilibili.com/video/BV1x7411B7Ms
冰封王座,魔兽争霸3 冰封王座 兽王战役,15.6万 ,6085,1714,1496,2044,93,2017-06-12,https://www.bilibili.com/video/BV1Nx411Y75U
冰封王座,【War3】魔兽争霸3冰封王座四大种族1级英雄无技能混战,12.0万 ,257,101,82,119,109,2017-10-03,https://www.bilibili.com/video/BV1Vx41137Ls
冰封王座,【炉石传说】冰封王座顶层宝箱里竟然开出了.......,42.5万 ,560,286,105,66,27,2017-08-25,https://www.bilibili.com/video/BV1dx411b7Tr
冰封王座,魔兽争霸3冰封王座 全战役剧情通关流程攻略,3.3万 ,433,267,200,427,27,2018-02-24,https://www.bilibili.com/video/BV1GW41147fH
冰封王座,魔兽争霸3冰封王座重置版全困难战役全收集全攻略流程！！,1.3万 ,39,182,88,210,11,2021-08-19,https://www.bilibili.com/video/BV11q4y1S79M
冰封王座,典中典之鹿哥喜提二手冰封王座,3.5万 ,140,1003,45,172,156,2021-05-01,https://www.bilibili.com/video/BV1AA41157sr
冰封王座,99%的重击vs99%的闪避谁厉害？ 魔兽争霸冰封王座～,4.2万 ,28,210,5,11,3,2021-02-17,https://www.bilibili.com/video/BV1Bv4y1Z7jx
冰封王座,炉石传说-冰封王座 2020年视频攻略（已完结）,2.3万 ,55,344,184,302,41,2020-03-20,https://www.bilibili.com/video/BV1R7411R7ZY
冰封王座,最新扩展包“冰封王座的骑士”现已上线,12.2万 ,519,569,492,791,608,2017-08-11,https://www.bilibili.com/video/BV1zx411n7Y6
冰封王座,狗贼叔叔的魔兽世界之旅（为了熟悉冰封王座新卡去通了一遍冰冠堡垒）,2976 ,23,48,4,15,1,2022-04-10,https://www.bilibili.com/video/BV1EY4y1e7Wp
冰封王座,魔兽争霸3冰封王座下载教程,631 ,0,7,2,7,5,2022-03-24,https://www.bilibili.com/video/BV1qZ4y1B7Vo
冰封王座,《魔兽：全面战争》冰封王座全势力概览 看看你都知道魔兽中的哪些种族？,2.8万 ,29,529,63,294,80,2021-12-11,https://www.bilibili.com/video/BV1XL411L7cS
冰封王座,冰 封 王 座,1.6万 ,10,450,106,140,34,2020-02-10,https://www.bilibili.com/video/BV15741147ea
冰封王座,【瞎弄】冰 封 王 座,1.8万 ,39,604,42,82,40,2021-07-18,https://www.bilibili.com/video/BV1QU4y137rr
冰封王座,看KZ大佬玩CS1.6僵尸逃跑模式 第五十二期【冰封王座】,3.6万 ,142,1215,61,59,8,2021-03-08,https://www.bilibili.com/video/BV1TK4y1U79M
冰封王座,【Api】冰封王座和欲拉又止的中单,2.2万 ,23,680,119,306,160,2022-02-13,https://www.bilibili.com/video/BV1sR4y1L7xe
冰封王座,魔兽争霸3冰封王座下载和安装（附下载链接）,1.9万 ,11,366,279,348,108,2022-01-20,https://www.bilibili.com/video/BV1Eu411m7aP
冰封王座,2201狂暴的10级恐惧魔王，对手懵了！魔兽争霸冰封王座小黑解说,7900 ,15,78,7,7,3,2022-02-20,https://www.bilibili.com/video/BV1F44y1n7ZR
冰封王座,【稻草芭比&皮卡秀】《魔兽争霸Ⅲ:冰封王座》十大经典战役解说系列,2.0万 ,158,234,76,409,80,2019-01-22,https://www.bilibili.com/video/BV1ft411875s
冰封王座,【炉石传说】谢谢你的双骨针。冰封王座怀旧之玛洛加尔领主,5.9万 ,276,202,123,78,50,2018-06-11,https://www.bilibili.com/video/BV1VW411w7KT
冰封王座,魔兽III冰封王座CG,1.2万 ,28,183,3,15,8,2022-01-05,https://www.bilibili.com/video/BV1GT4y1m7PU
冰封王座,【魔兽争霸III冰封王座】额外的战役：多洛特的成立（兽族战役）,2.1万 ,250,113,78,133,24,2017-04-16,https://www.bilibili.com/video/BV1Lx411D7Kp
冰封王座,《炉石传说》双人现开赛冰封王座篇决赛日,2.4万 ,411,13,53,92,15,2017-09-17,https://www.bilibili.com/video/BV1Zx411s73w
冰封王座,冒险模式【冰封王座】佛丁赢了会怎样,14.2万 ,383,255,46,69,30,2017-08-14,https://www.bilibili.com/video/BV1xx411H7iA
冰封王座,冰封王座彩蛋合集～,19.7万 ,836,5223,1096,1339,309,2020-02-21,https://www.bilibili.com/video/BV1B7411A7Jh
冰封王座,《炉石传说》双人现开赛冰封王座篇第三日,2.8万 ,618,23,47,105,22,2017-09-11,https://www.bilibili.com/video/BV1Yx41147he
冰封王座,【贱贱】《魔兽争霸3冰封王座》入门视频，给不会玩RTS的童鞋们看的！,2.7万 ,167,458,320,250,110,2017-07-11,https://www.bilibili.com/video/BV1Ex411q7wK
冰封王座,《炉石传说》双人现开赛冰封王座篇第四日,3.3万 ,478,16,64,91,40,2017-09-12,https://www.bilibili.com/video/BV1kx41147EU
冰封王座,【炉石传说·重返冰封王座】“结束了，王权没有永恒，我的孩子”,4.6万 ,108,2080,878,255,120,2021-11-14,https://www.bilibili.com/video/BV1uR4y1t7m2
冰封王座,【魔兽争霸3：重制版】全CG+纯剧情战役 冰封王座（完整版）,8.0万 ,2862,2112,1763,1531,237,2020-02-03,https://www.bilibili.com/video/BV1T7411p7wn
冰封王座,【已完结】《魔兽争霸3 重铸版》混乱之治+冰封王座战役剧情通关流程,4701 ,32,85,33,69,3,2021-12-07,https://www.bilibili.com/video/BV1AZ4y197g5
冰封王座,冰封王座的骑士新卡全卡测评,2.7万 ,1232,19,199,68,51,2017-08-09,https://www.bilibili.com/video/BV1gx411n7Ng
冰封王座,【炉石传说】冰封王座日服，台服，国服，美服橙卡配音对比,1.2万 ,207,91,65,112,60,2017-10-16,https://www.bilibili.com/video/BV1qx411g7Hw
冰封王座,炉石传说“冰封王座的骑士”各版本宣传片,12.1万 ,1196,318,228,1194,853,2017-07-08,https://www.bilibili.com/video/BV1hx411z797
冰封王座,决胜！冰封王座 王国保卫战复仇冰冻梦魇支线boss关非氪无漏怪不可能难度,8415 ,84,202,84,39,1,2019-05-10,https://www.bilibili.com/video/BV1h4411Y7fK
冰封王座,【赛尔号】经典阿克希亚完美超进化，女皇形态！冰封王座！！,9.1万 ,144,219,21,101,31,2018-06-23,https://www.bilibili.com/video/BV1qs41177f2
冰封王座,魔兽争霸3冰封王座战役最速通关,41.7万 ,3649,877,535,3242,267,2012-06-28,https://www.bilibili.com/video/BV1Lx411F7Jh
冰封王座,130.冰封王座,671 ,2,11,投币,1,分享,2022-03-30,https://www.bilibili.com/video/BV1V5411S7xn
冰封王座,魔兽争霸3：邪恶狂热大屁股！Lyn VS 120，冰封王座小黑解说,695 ,5,28,4,5,2,2022-03-12,https://www.bilibili.com/video/BV1tS4y1S7po
冰封王座,(魔兽争霸冰封王座)横扫西游n1通关流程,1007 ,4,6,4,1,9,2022-03-09,https://www.bilibili.com/video/BV1Ua411h7xM
冰封王座,【三好大叔】冰封王座人类战役速通世界纪录46m50s 玩家username1826,1.3万 ,285,402,237,56,3,2020-02-27,https://www.bilibili.com/video/BV1i7411P7HA
冰封王座,【炉石传说】冰封王座骑士的5个bug,1.7万 ,185,9,13,12,36,2017-08-22,https://www.bilibili.com/video/BV1Lx411b7J9
冰封王座,(魔兽争霸冰封王座)神魔征途n1通关流程,451 ,0,4,2,收藏,分享,2022-03-30,https://www.bilibili.com/video/BV1Ja41147ru
冰封王座,(魔兽争霸冰封王座)欢乐修仙n1通关流程,122 ,0,3,2,收藏,1,2022-04-07,https://www.bilibili.com/video/BV1L34y1x7i3
冰封王座,冰封王座-麒麟9000曼哈顿3.1跑分142,5.5万 ,39,1383,178,121,61,2021-01-28,https://www.bilibili.com/video/BV1no4y1d7fr
冰封王座,【超级游戏炉石传说】冰封王座的骑士——娇娇,1.9万 ,28,34,17,27,15,2017-08-31,https://www.bilibili.com/video/BV1zx411t7VF
冰封王座,《魔兽争霸3:冰封王座》全剧情动画，艾泽拉斯大历史！,1.3万 ,80,137,75,219,17,2019-01-18,https://www.bilibili.com/video/BV1pt411a77S
冰封王座,【游心说】王子已逝，巫妖王重生，冰封王座上的阿尔萨斯,2.1万 ,194,888,379,216,37,2021-01-09,https://www.bilibili.com/video/BV1iT4y1N7b4
冰封王座,【搬运】魔兽争霸3冰封王座-全任务Hard难度-世界记录2小时10分58秒-20210429-By Kesanka,4326 ,35,187,32,78,19,2021-10-16,https://www.bilibili.com/video/BV1gQ4y1z7jG
冰封王座,【TED出品】魔兽3重制版战役冰封王座之Hum篇 上 突然死亡,2.2万 ,1157,240,77,64,8,2020-02-06,https://www.bilibili.com/video/BV1d7411H7pe
冰封王座,天鬼也能玩围杀，FQQ挑战天梯第一 魔兽争霸 冰封王座,2.0万 ,142,512,219,51,4,2021-12-06,https://www.bilibili.com/video/BV1gP4y1G7Hp
