game_name,title,view,dm,like,coin,collect,share,upload_date,url
吉他英雄,音游史上最难BOSS《吉他英雄》GUITAR BATTLE VS. SLASH【完整版】,8225 ,11,60,6,31,40,2018-06-10,https://www.bilibili.com/video/BV1HW411P7f2
吉他英雄,纪录片：吉他英雄——三把吉他，三名绝世吉他手，三种吉他革命,9053 ,97,292,167,796,202,2019-11-22,https://www.bilibili.com/video/BV1fJ411R7MD
吉他英雄,【进化史】吉他英雄系列进化史 Guitar Hero Games 2005 - 2020,4921 ,6,88,3,45,16,2020-07-26,https://www.bilibili.com/video/BV1Rk4y127AJ
吉他英雄,"电动吉他达人挑战吉他英雄,这手速...30秒后开始逆天",1.0万 ,37,84,20,69,93,2017-10-05,https://www.bilibili.com/video/BV1hx41137ae
吉他英雄,当吉他英雄游戏玩家，弹上了真吉他,8672 ,3,189,3,26,5,2022-02-12,https://www.bilibili.com/video/BV1pF411n7SB
吉他英雄,吉他英雄加州旅馆专家难度,6912 ,5,32,2,24,24,2018-01-31,https://www.bilibili.com/video/BV1ZW411n786
吉他英雄,《吉他英雄：live》视频解说演示,1.2万 ,16,23,19,39,72,2015-10-26,https://www.bilibili.com/video/BV1Xs41127Hm
吉他英雄,这才是吉他英雄的真正玩法！！！,1.1万 ,23,88,11,48,85,2019-01-22,https://www.bilibili.com/video/BV1Vt411h7zQ
吉他英雄,【纪录/电吉他/音乐】吉他英雄（乐声喧天）It Might Get Loud 2008,1.9万 ,516,448,254,1769,466,2016-05-09,https://www.bilibili.com/video/BV1Js411B7Hr
吉他英雄,【吉他英雄3摇滚传奇】专家 Slow Ride—Foghat,5368 ,14,20,6,17,24,2017-03-31,https://www.bilibili.com/video/BV1gx411Q7uT
吉他英雄,曾经的音游“英雄” 为何再无音信？！,3.9万 ,221,1891,375,456,31,2021-05-15,https://www.bilibili.com/video/BV1qU4y1t7qv
吉他英雄,朋克小生一口气弹了21首《吉他英雄》游戏中的摇滚金属经典曲目！,1815 ,1,54,6,31,6,2020-06-13,https://www.bilibili.com/video/BV1ra4y1Y73J
吉他英雄,【吉他英雄 LIVE】纪念TV线上模式关闭 线上歌曲MV集锦 持续更新中~~,703 ,0,23,13,23,3,2020-09-14,https://www.bilibili.com/video/BV1Jy4y1y73M
