game_name,title,view,dm,like,coin,collect,share,upload_date,url
命运2,《命运2：邪姬魅影》- 荣誉预告片,2.5万 ,28,1138,221,111,286,2022-03-30,https://www.bilibili.com/video/BV1XZ4y1B799
命运2,《命运2：邪姬魅影》- “门徒誓约”突袭竞赛预告片,8.0万 ,67,2091,417,233,2098,2022-03-03,https://www.bilibili.com/video/BV1x34y1k7aM
命运2,《命运2：邪姬魅影》- 原声带,4.6万 ,264,1948,1535,1867,531,2022-02-25,https://www.bilibili.com/video/BV1qF411t79i
命运2,《命运2：邪姬魅影》- 传说战役,2.9万 ,27,918,77,46,57,2022-02-23,https://www.bilibili.com/video/BV1Nq4y1b7p2
命运2,《命运2：邪姬魅影》- 苏生赛季预告片,6.5万 ,127,2487,524,268,1975,2022-02-22,https://www.bilibili.com/video/BV1dq4y1t7SD
命运2,《命运2：邪姬魅影》- 上线1天倒计时,3.1万 ,22,1176,132,45,470,2022-02-21,https://www.bilibili.com/video/BV1Ga411C72z
命运2,《命运2：邪姬魅影》- 枯骨鳞片，全新异域微型冲锋枪,3.8万 ,31,1142,68,43,409,2022-02-21,https://www.bilibili.com/video/BV1qP4y1F73j
命运2,命运2玩不懂？这也许是最全的命运2萌新、新手指导篇！！！（持续更新中）,21.7万 ,206,1991,882,1752,657,2021-09-05,https://www.bilibili.com/video/BV1ZL41147Dd
命运2,[命运2]纯萌新入坑该买什么、怎么玩？,7.6万 ,162,1318,405,708,552,2021-12-18,https://www.bilibili.com/video/BV1Z44y1E7uX
命运2,【喂狗组】命运2最好的一年，你值得拥有！,3.3万 ,102,913,167,87,161,2022-04-10,https://www.bilibili.com/video/BV1K34y1v77w
命运2,【IGN】8分，《命运2：邪姬魅影》评测：堪称整个系列的最高点,5.8万 ,177,987,112,128,545,2022-03-16,https://www.bilibili.com/video/BV1fZ4y1z7LB
命运2,【命运2】我真的觉得这游戏快凉了,23.9万 ,456,5906,3701,975,1411,2020-03-19,https://www.bilibili.com/video/BV1W7411R7iG
命运2,【steam喜加1】免费领取《命运2：邪姬魅影》93%好评的游戏居然免费了！全玩家可领！,3.6万 ,109,400,83,72,167,2022-02-23,https://www.bilibili.com/video/BV15L411T7ZW
命运2,【命运2】苏生赛季 手法优化 一波384w输出手法,2.7万 ,9,447,238,493,430,2022-03-21,https://www.bilibili.com/video/BV1P3411p7U5
命运2,【命运2·苏生赛季】虚空猎单人宗师光之利刃（白金奖励）,6135 ,43,279,197,63,216,2022-04-07,https://www.bilibili.com/video/BV1734y1x7Ly
命运2,命运2 16赛季苏生赛季高属性指定位置护甲不要错过300属性的好时机,1.6万 ,4,302,116,346,179,2022-03-29,https://www.bilibili.com/video/BV1WY4y1q73f
命运2,【命运2】版本之子最强白弹枪，噤声的爹切肤之痛。,4.8万 ,16,594,234,765,574,2022-03-19,https://www.bilibili.com/video/BV1WP4y1u7Um
命运2,【命运2】苏生赛季 如何快速提升武器等级,4.5万 ,33,741,389,945,173,2022-02-25,https://www.bilibili.com/video/BV15P4y1c7Kg
命运2,《命运2》萌新必看！一天拥有47件金装！,66.3万 ,710,8327,6254,9938,6596,2019-10-15,https://www.bilibili.com/video/BV1VE411o7uw
命运2,【命运2PVE萌新向】进来告诉你全金装获取来源,2.1万 ,9,486,239,474,87,2022-02-28,https://www.bilibili.com/video/BV1qS4y167aS
命运2,给年5入坑的萌新-分享8个实用的网站和手机软件【命运2】,1.1万 ,24,480,324,817,85,2022-03-21,https://www.bilibili.com/video/BV1G34y1b7g6
命运2,【命运2】Steam新人入手指南，版本选择，游戏准备，职业选择,99.0万 ,1463,1.0万,4261,6416,6005,2019-09-30,https://www.bilibili.com/video/BV18E411X7i5
命运2,【命运2邪姬魅影】苏生赛季武器推荐与PERK选择,9.3万 ,219,2403,1930,3190,651,2022-02-24,https://www.bilibili.com/video/BV1hY41157St
命运2,【命运2】可以涩涩！绝赞着色器/幻化推荐,6.6万 ,89,2273,646,1045,315,2022-01-18,https://www.bilibili.com/video/BV1Cq4y1c7L9
命运2,命运2 BUG？高属性护甲 零基础 无限刷,2.6万 ,40,578,250,571,546,2022-04-02,https://www.bilibili.com/video/BV1eu411i7xv
