game_name,title,view,dm,like,coin,collect,share,upload_date,url
命运战士,【4k60帧】画质修复《铠甲勇士》命运战士,3.7万 ,39,1367,318,846,61,2021-11-26,https://www.bilibili.com/video/BV1dS4y1Q7R2
命运战士,【命运战士】曾经引进国内的暴力血腥FPS爽游,6.3万 ,309,1814,318,1676,55,2022-02-14,https://www.bilibili.com/video/BV1Fq4y1t7g1
命运战士,【铠甲勇士/第一部/燃向MAD】主题曲《命运战士》,8.7万 ,404,1110,283,902,396,2017-04-29,https://www.bilibili.com/video/BV1ux411S73b
命运战士,“完 全 一 致”,249.9万 ,2182,17.1万,3.8万,4.2万,1.1万,2021-10-16,https://www.bilibili.com/video/BV1pP4y1t7RX
命运战士,【命运战士3:偿还】到底有多烂?曾经的经典FPS系列是如何被第三部毁掉的,5.9万 ,170,2404,453,493,16,2021-05-16,https://www.bilibili.com/video/BV1jK4y1A7bw
命运战士,【命运战士2双重螺旋】1080P最高难度战斗流程,2244 ,7,44,18,36,4,2021-09-01,https://www.bilibili.com/video/BV1DP4y1p7Hk
命运战士,命运战士游戏进化史 2000-2011,3090 ,3,46,5,22,2,2020-03-19,https://www.bilibili.com/video/BV1X741197hB
命运战士,【完结】【钊糕】我的童年——命运战士2：双重螺旋（Soldier of fortune 2：Double Helix）,7440 ,98,107,47,106,11,2019-01-03,https://www.bilibili.com/video/BV1tt411B7zx
命运战士,【4K/炫酷字幕】 铠甲勇士op 命运战士 英文版,1548 ,2,54,6,20,4,2022-01-27,https://www.bilibili.com/video/BV1Q3411h7NN
命运战士,铠甲勇士第一部—[命运战士]女生翻唱,1.1万 ,33,560,222,89,6,2021-02-04,https://www.bilibili.com/video/BV13o4y197eP
命运战士,【完结】【钊糕直播】命运战士（Soldier of Fortune）,3389 ,2,51,22,47,5,2019-01-01,https://www.bilibili.com/video/BV1st411C7SP
命运战士,张信哲22年前老歌 “翻红”，竟是被“铠甲勇士”唱火的？太迷惑！,3.7万 ,25,673,20,124,8,2021-03-25,https://www.bilibili.com/video/BV1Ky4y1b7sn
命运战士,《命运战士(Soldier of Fortune)》(2000)通关视频,1938 ,0,38,6,35,1,2021-07-04,https://www.bilibili.com/video/BV1Hg411u78V
命运战士,[1080P修复/60帧]命运战士-铠甲勇士OP,1690 ,1,25,5,24,11,2021-12-25,https://www.bilibili.com/video/BV1hS4y1g7Sj
命运战士,《命运战士3：偿还(Soldier of Fortune: Payback)》(2007)通关视频(Xbox 360),1587 ,4,33,1,22,3,2021-07-18,https://www.bilibili.com/video/BV1hw411d7hz
命运战士,【原神/铠甲勇士】命 运 战 士-如果用铠甲勇士的方式打开原神？2,13.9万 ,146,8075,2849,3008,2025,2022-01-07,https://www.bilibili.com/video/BV1v34y1q78F
命运战士,为什么我看的铠甲勇士跟你们不一样？,88.9万 ,1938,5.0万,1.2万,1.4万,2352,2019-11-22,https://www.bilibili.com/video/BV19J411U7Wa
命运战士,[SOF2][命运战士2双重螺旋]宽屏补丁720P单人任务最高难度通关 携带有限的武器弹药 限制存盘一次 打起来比较谨慎 不火爆不够爽）,1411 ,4,23,14,26,3,2021-03-31,https://www.bilibili.com/video/BV1D5411P7Ja
命运战士,【铠甲勇士】命运战士完整版,3530 ,6,38,13,22,23,2018-09-15,https://www.bilibili.com/video/BV1XW411r7y3
命运战士,铠甲勇士光影传奇主题曲《命运战士》，后面的铠甲和歌曲没对上，也请各位谅解,128 ,0,6,投币,1,分享,2022-04-10,https://www.bilibili.com/video/BV16Z4y127Ro
命运战士,铠甲勇士主题曲！超燃《命运战士》与拇指的并肩战斗！,5.2万 ,287,2803,653,426,101,2020-11-06,https://www.bilibili.com/video/BV1nt4y1e7em
命运战士,【经典重玩】《命运战士》第一期,1343 ,5,12,3,7,7,2018-12-01,https://www.bilibili.com/video/BV1ht411X7zi
