game_name,title,view,dm,like,coin,collect,share,upload_date,url
星际争霸,《星际争霸2》全CG,331.1万 ,4.1万,3.8万,1.3万,7.2万,1.7万,2017-05-24,https://www.bilibili.com/video/BV1ax411Y72c
星际争霸,Faker和小吕布大战星际争霸，这手速和切屏我看晕了,36.5万 ,774,4567,178,777,1274,2021-11-06,https://www.bilibili.com/video/BV1Yq4y137Hc
星际争霸,星际争霸1重置版 原版战役全剧情 （简体中文配音、字幕）（更新完毕）,56.0万 ,1.6万,5045,3710,8474,525,2017-08-16,https://www.bilibili.com/video/BV1Tx411J7Sa
星际争霸,【星际争霸2】这应该就是虫族玩家最爽的瞬间,14.9万 ,72,1037,20,66,40,2021-09-28,https://www.bilibili.com/video/BV1Tf4y1J7gx
星际争霸,星际争霸2从零入门到盲人教程合集,36.3万 ,1982,8850,5550,9984,1376,2018-11-21,https://www.bilibili.com/video/BV1vt411C7Mo
星际争霸,【手速恐怖】实拍星际职业选手DongRaeGu手速视频！,480.4万 ,8861,3.7万,1825,1.6万,1.5万,2018-03-03,https://www.bilibili.com/video/BV1MW411x7dW
星际争霸,神族无法集结部队，我也仅剩最后的建筑！但是，哦麦一哇，莫新得一路！【DogCraft25】,152.0万 ,2651,6.1万,4.0万,1.2万,5573,2021-03-26,https://www.bilibili.com/video/BV1KA411K76P
星际争霸,【星际争霸】43分钟带你走完星际全剧情,19.4万 ,2684,4887,2564,3963,709,2018-04-07,https://www.bilibili.com/video/BV1RW411N7qw
星际争霸,星际争霸从入门到宗师-虫族全细节标准教学（不断更新中，字幕添加中）,19.1万 ,379,6831,5844,9196,773,2021-07-19,https://www.bilibili.com/video/BV1SP4y147zT
星际争霸,【星际争霸2】这绝对是WCS历史上最经典的时刻，至今依然令人热泪盈眶，大主教classc退役之战！2019 WCS 全球总决赛 淘汰赛!,30.8万 ,977,5441,1601,1568,353,2021-01-02,https://www.bilibili.com/video/BV17v411x7o4
星际争霸,【张哈哈】星际争霸剧情解说01,27.9万 ,1131,1.4万,7905,4024,327,2019-10-07,https://www.bilibili.com/video/BV12J411F7hw
星际争霸,星际争霸1重置版表演赛 解冻大魔王jaedongVS教主FLASH,15.9万 ,926,481,37,204,175,2017-07-31,https://www.bilibili.com/video/BV1Fx411s76S
星际争霸,2018《星际争霸II》世界锦标赛全球总决赛 决赛日,36.8万 ,6417,3278,1035,1763,700,2018-11-24,https://www.bilibili.com/video/BV1Bt411y7n7
星际争霸,星 际 争 霸 专 业 配 音 员,7.9万 ,51,2246,479,477,644,2022-01-06,https://www.bilibili.com/video/BV183411e7B6
星际争霸,星际争霸我的好妈妈--医疗兵大解密！【游戏绘】第十期,9.8万 ,509,4309,533,638,30,2022-02-27,https://www.bilibili.com/video/BV1Rb4y1s7k7
星际争霸,【游戏私货】原版星际争霸中那些脑洞大开的设定,23.1万 ,1599,1.7万,5753,3521,267,2021-03-24,https://www.bilibili.com/video/BV1g64y1Q732
星际争霸,[星际争霸2]如果放任AI随意操作的话？,27.9万 ,2749,2069,831,5257,3865,2017-08-07,https://www.bilibili.com/video/BV18x411p7xR
星际争霸,星际争霸中的六种星际玩家 过于真实,19.4万 ,832,5939,871,813,257,2020-02-09,https://www.bilibili.com/video/BV1T7411b7bz
星际争霸,星际争霸1战役教学硬核基本功系列（重制版中文含原版全剧情）,7.9万 ,861,2717,1152,2691,407,2021-12-31,https://www.bilibili.com/video/BV1LD4y1F7yX
星际争霸,【我知道上次不够残暴】8000小狗VS900机枪兵 怎么输。 【星际争霸2】【今晚吃炸姬】怀旧暴雪游戏,46.7万 ,649,1405,3197,356,142,2018-04-22,https://www.bilibili.com/video/BV1iW41157X3
星际争霸,星际争霸一复刻战役剧情全通,18.5万 ,4600,3885,2442,3164,255,2020-02-20,https://www.bilibili.com/video/BV1v7411A74G
星际争霸,《星际争霸2》之所以被誉为观赏性最高...,24.3万 ,396,5879,913,925,764,2021-07-15,https://www.bilibili.com/video/BV12X4y1w79H
星际争霸,【千本科幻17】星际争霸异虫5.5公里长生物战舰利维坦【星舰母港】学院先锋出品,25.3万 ,1246,8564,6977,2860,279,2018-12-21,https://www.bilibili.com/video/BV17t411Y7mr
星际争霸,星际争霸全单位真实比例图。,41.4万 ,2595,5075,4797,5878,965,2016-06-06,https://www.bilibili.com/video/BV1Ns411q74P
星际争霸,星际争霸2虫群之心国服全剧情(残酷),174.9万 ,5.2万,1.0万,9952,2.0万,1292,2013-08-11,https://www.bilibili.com/video/BV1zs411f7ci
星际争霸,【星际争霸2】190124.阿尔法狗(人工智能)对人类职业高手的几场比赛,18.8万 ,2118,1370,112,884,453,2019-01-27,https://www.bilibili.com/video/BV1ft41147t4
星际争霸,【星际争霸2】虚空之遗国服战役正篇+终章(残酷难度),341.0万 ,8.7万,1.7万,2.0万,3.5万,3244,2015-11-11,https://www.bilibili.com/video/BV13s411d7wY
星际争霸,【星际争霸超燃剪辑】致敬所有星际争霸玩家,6.7万 ,356,4006,1308,1681,214,2021-06-18,https://www.bilibili.com/video/BV1Tb4y1o7Fy
星际争霸,【星际争霸】女帝vs江南狗王-ToSsGirL vs F91,18.7万 ,732,401,78,821,134,2018-02-11,https://www.bilibili.com/video/BV1MW411E72Q
星际争霸,【敖厂长】罕见的星际争霸黑历史,248.0万 ,2.0万,1.4万,2.8万,8006,3405,2016-03-31,https://www.bilibili.com/video/BV1Ts411z7LH
星际争霸,史上最恐怖的星际争霸地图,18.4万 ,1002,685,248,998,643,2017-07-17,https://www.bilibili.com/video/BV1Hx411B75s
星际争霸,《星际争霸》的中国玩家为什么那么好？因为高门槛劝退低素质玩家,4.9万 ,181,1200,68,172,49,2022-01-08,https://www.bilibili.com/video/BV1tS4y1j7nu
星际争霸,爱情公寓番外篇之星际争霸,179.4万 ,6770,1.3万,1027,1.0万,4007,2017-04-29,https://www.bilibili.com/video/BV1Nx411S7uZ
星际争霸,【肉玩记】星际争霸为什么能站在鄙视链的顶端？,21.6万 ,6093,7251,6174,4340,2601,2018-09-19,https://www.bilibili.com/video/BV1kW411671G
星际争霸,星际争霸最牛Cosplay-刺蛇,26.4万 ,435,3692,197,1649,594,2015-09-09,https://www.bilibili.com/video/BV1Ms411U7kN
星际争霸,【是谁在呼叫舰队】神族黄金舰队VS人族钢铁舰队 .【星际争霸2】怀旧暴雪游戏,66.3万 ,1520,5071,6342,946,640,2018-05-11,https://www.bilibili.com/video/BV1Rp411f7U5
星际争霸,【木鱼微剧场】《星际争霸2：自由之翼》（上）反叛的雷诺与泽拉图的预言,75.6万 ,6542,9140,1.2万,4954,2492,2017-12-22,https://www.bilibili.com/video/BV16W411876V
星际争霸,【1080P】星际争霸2宣传片合集！,13.8万 ,651,1191,170,1695,850,2018-03-18,https://www.bilibili.com/video/BV1KW411W7Ca
星际争霸,【星际争霸1重置版】所有单位语音和动图头像重置版,18.0万 ,1476,1322,327,2339,575,2017-07-31,https://www.bilibili.com/video/BV11x411W7gr
星际争霸,星际争霸伤害原理：你为什么打不过对面,14.1万 ,517,7079,3123,2124,357,2021-06-10,https://www.bilibili.com/video/BV11h411e7cW
星际争霸,An error was raised,,,,,,,,https://www.bilibili.com/video/BV1Su411D7oS
