game_name,title,view,dm,like,coin,collect,share,upload_date,url
暗黑破坏神,Diablo II: Resurrected《暗黑破坏神2：狱火重生》好玩吗？【浓浓20年前的游戏味道】,2659 ,6,20,2,2,1,2021-05-01,https://www.bilibili.com/video/BV1pZ4y1F795
暗黑破坏神,大神新品丨暗黑破坏神 II 复活女术士重制版！,8021 ,28,124,14,100,61,2021-09-28,https://www.bilibili.com/video/BV1Cu411f7is
暗黑破坏神,【暗黑破坏神II】【任务攻略】全五章任务详解,280 ,0,8,6,4,分享,2021-12-20,https://www.bilibili.com/video/BV1BM4y1c72g
暗黑破坏神,暗黑破坏神II 噩梦（安姐）安达利尔乔丹之石掉落测试,3.7万 ,69,610,336,48,37,2021-03-26,https://www.bilibili.com/video/BV1iV411e78b
暗黑破坏神,【飞机鼠】暗黑破坏神II毁灭之王 全流程 全剧情 全任务 游戏实况9 Andariel,1977 ,5,15,4,2,1,2019-11-04,https://www.bilibili.com/video/BV1KE411B7k7
暗黑破坏神,【暗黑破坏神II】【任务攻略】全五章任务详解,439 ,0,4,4,6,分享,2022-02-23,https://www.bilibili.com/video/BV1hL411T71s
暗黑破坏神,[Diablo II] 暗黑2 章节任务 全攻略 (新手向! 新手向!! 新手向!!!),4135 ,4,82,29,118,21,2021-08-21,https://www.bilibili.com/video/BV1Dy4y1V74q
暗黑破坏神,《暗黑破坏神II：狱火重生》长枪佣兵镶材选择+遵从诞生,6120 ,25,85,12,70,4,2021-10-18,https://www.bilibili.com/video/BV19Q4y1i7nb
暗黑破坏神,【暗黑破坏神II】重制版Switch手柄操作详解,6761 ,1,90,43,74,11,2021-10-02,https://www.bilibili.com/video/BV1Yv411G7R9
暗黑破坏神,【画质对比】《暗黑破坏神II:重置版》重制版VS原版,1.2万 ,39,43,1,16,136,2021-04-09,https://www.bilibili.com/video/BV1Yp4y1t7kR
暗黑破坏神,暗黑破坏神II 利用游戏BUG 90分钟获得100个99级小护身符 我先辩识100个考验一下人品,2.9万 ,7,418,165,291,26,2021-04-08,https://www.bilibili.com/video/BV15A411K7yE
暗黑破坏神,暗黑破坏神II 再战噩梦（安姐）安达利尔乔丹之石势在必得,1.0万 ,11,253,105,18,12,2021-05-20,https://www.bilibili.com/video/BV1K84y1F7WX
暗黑破坏神,暗黑破坏神II 虽是20年前的游戏回看五大BOSS死亡特效依旧不过时,1.3万 ,37,169,12,34,6,2021-03-08,https://www.bilibili.com/video/BV1QU4y1p7Xe
暗黑破坏神,【暗黑破坏神II】【任务攻略】全五章任务详解,225 ,0,8,6,2,2,2021-12-16,https://www.bilibili.com/video/BV1Fi4y1o7gv
