game_name,title,view,dm,like,coin,collect,share,upload_date,url
暗黑破坏神II,【庇护之地全新篇章】新的敌人已经出现！,1.7万 ,40,377,20,11,25,2022-03-29,https://www.bilibili.com/video/BV1Ur4y1W7s2
暗黑破坏神II,《暗黑破坏神：不朽》玩法介绍,6.4万 ,39,597,22,22,206,2022-03-29,https://www.bilibili.com/video/BV1x94y1f7CE
暗黑破坏神II,2022今年一定！《暗黑破坏神：不朽》给大家拜年了,3.0万 ,100,507,19,18,82,2022-02-01,https://www.bilibili.com/video/BV1bP4y1A7Qm
暗黑破坏神II,2022今年一定！《凯恩的邀约》制作人见面会全程回顾,1.0万 ,45,187,11,20,24,2022-01-11,https://www.bilibili.com/video/BV1D44y1j7aZ
暗黑破坏神II,1月7日《暗黑破坏神：不朽》制作人访谈首播，我们等你！,1.3万 ,32,253,15,13,52,2022-01-05,https://www.bilibili.com/video/BV1dL411V7xK
暗黑破坏神II,指尖上的庇护之地《暗黑破坏神：不朽》,5.0万 ,87,662,45,28,69,2021-12-07,https://www.bilibili.com/video/BV1TU4y1K7zr
暗黑破坏神II,《暗黑破坏神：不朽》制作人来信：“凯恩的邀约”精英试炼测试,3.5万 ,140,683,42,35,134,2021-11-19,https://www.bilibili.com/video/BV1KP4y1L7U6
暗黑破坏神II,《暗黑破坏神：不朽》最新开发视频曝光,15.0万 ,343,1513,126,102,460,2021-05-20,https://www.bilibili.com/video/BV1co4y117Ab
暗黑破坏神II,【还嘴硬】刷了20年，到底讲了个什么阴谋？故事解析《暗黑破坏神》合集纯享版,60.5万 ,7753,2.4万,2.7万,2.4万,2626,2021-09-22,https://www.bilibili.com/video/BV1WU4y1A7t5
暗黑破坏神II,【中国网游史68】《暗黑破坏神》为何如此令人着迷？,107.6万 ,4746,5.3万,2.6万,8995,2107,2020-07-04,https://www.bilibili.com/video/BV1tD4y1Q7XX
暗黑破坏神II,暗黑破坏神3新手向全流程第一集,32.2万 ,651,1026,332,707,272,2018-07-13,https://www.bilibili.com/video/BV1is411H7do
暗黑破坏神II,暗黑破坏神剧情，到底讲解的是一个什么故事，带你走进暗黑宇宙【第一期】,60.9万 ,903,1.3万,9157,6533,886,2019-06-03,https://www.bilibili.com/video/BV1w4411H7Cz
暗黑破坏神II,《暗黑破坏神》CG动画合集（已更新暗黑2重制版5章过场CG动画）,78.2万 ,6810,5672,2872,1.4万,6890,2016-06-09,https://www.bilibili.com/video/BV1Ps411q7sk
暗黑破坏神II,《暗黑破坏神2》七大人物练法-纯招死灵,22.0万 ,958,1719,1020,1628,150,2019-06-12,https://www.bilibili.com/video/BV194411A79n
