game_name,title,view,dm,like,coin,collect,share,upload_date,url
炉石传说,【炉石骚套路 63】4费斩杀！新版本最离谱套路诞生！,77.3万 ,2582,6.1万,3.3万,5963,8566,2022-04-08,https://www.bilibili.com/video/BV1E3411J7aC
炉石传说,一包五橙的心路历程，炉石传说yyds！！！,74.5万 ,706,3.3万,1.5万,5554,1.5万,2022-04-04,https://www.bilibili.com/video/BV1M5411U7ou
炉石传说,一同“探寻沉没之城” 《炉石传说》最新扩展包4月13日揭开新篇章,36.1万 ,950,1.3万,6513,4675,5836,2022-03-18,https://www.bilibili.com/video/BV1GS4y1U7pD
炉石传说,【炉石资讯】新通行证奖励！新钻石卡！纳迦希尔瓦娜斯？,18.4万 ,229,7521,1087,622,401,2022-04-05,https://www.bilibili.com/video/BV16r4y1p7KS
炉石传说,别人眼中的jk与炉石玩家眼中的jk,15.6万 ,190,8731,76,867,736,2022-04-09,https://www.bilibili.com/video/BV1v94y1Z7Wz
炉石传说,炉石传说史上最值得一看的十大经典对局,175.9万 ,2.2万,2.8万,2.2万,3.7万,7416,2019-01-13,https://www.bilibili.com/video/BV16t411W7ps
炉石传说,炉石传说|新版本 探寻沉没之城 全职业卡组预构筑（标准）,1.7万 ,17,600,35,286,37,2022-04-08,https://www.bilibili.com/video/BV1uT4y1Y77b
炉石传说,【新卡点评】炉石新版本，探寻沉没之城来了！,24.7万 ,1606,1.5万,1780,601,261,2022-03-23,https://www.bilibili.com/video/BV1Hq4y1Y7rx
炉石传说,炉 石 现 状,113.2万 ,979,5.2万,2.9万,1.2万,2.0万,2020-04-10,https://www.bilibili.com/video/BV1ia4y1t7Vy
炉石传说,【斩杀神曲】你的炉石传说有这么燃吗？,374.0万 ,1.6万,7.5万,10.9万,9.6万,2.4万,2017-10-13,https://www.bilibili.com/video/BV1Kx411g7xH
炉石传说,【新卡点评】炉石大变天！一起探寻沉没之城！,25.8万 ,1948,1.3万,1376,580,533,2022-04-06,https://www.bilibili.com/video/BV1Y3411J74i
炉石传说,【炉石对决】六小龄童Vs卢姥爷！,156.5万 ,3064,6.6万,5.7万,2.8万,1.6万,2019-05-02,https://www.bilibili.com/video/BV164411x7Sq
炉石传说,【炉石神对决40】无限变羊法！这才是绝对控制卡组！,15.8万 ,329,2.0万,1.1万,1237,51,2022-04-08,https://www.bilibili.com/video/BV1cq4y1Y7Gi
炉石传说,【逗鱼时刻】第116期 炉石传说真尼玛好玩,171.4万 ,1.9万,4241,1.4万,4265,7602,2017-07-14,https://www.bilibili.com/video/BV1mx411q7jb
炉石传说,炉 石 新 版 本 现 状,20.2万 ,199,7670,357,351,447,2021-12-11,https://www.bilibili.com/video/BV1334y197Hu
炉石传说,【炉石资讯】真的太美了！艾萨拉女王：你还挺不错的嘛~,22.7万 ,532,8028,1110,671,484,2022-03-18,https://www.bilibili.com/video/BV1hR4y1F7NK
炉石传说,成 龙 教 你 打 炉 石,13.3万 ,138,7375,1914,661,798,2022-04-09,https://www.bilibili.com/video/BV15A4y197jB
炉石传说,一分钟学会炉石传说改系统时间金币买老冒险,2.0万 ,8,199,34,131,128,2022-04-07,https://www.bilibili.com/video/BV1tT4y1v7Pq
炉石传说,炉石全卡号 你见过吗?,13.9万 ,10,6467,25,253,122,2022-02-17,https://www.bilibili.com/video/BV1A34y1C7Hn
