game_name,title,view,dm,like,coin,collect,share,upload_date,url
虐杀原形,虐杀原形1Hard+难度花式通关（已完结）,125.9万 ,2.3万,2.1万,1.4万,2.1万,2278,2016-11-04,https://www.bilibili.com/video/BV1Gs411x7EK
虐杀原形,【4K-虐杀原形2】极致画质-最高画质图形演示-Ultra Simple ReShade | Ultra Graphic Settings gameplay,13.9万 ,126,2288,235,847,241,2022-01-25,https://www.bilibili.com/video/BV1t44y1s7t7
虐杀原形,这款十年前火遍网吧的动作游戏，最终结局究竟是什么？！,236.9万 ,6167,11.9万,3.9万,2.2万,2339,2021-09-03,https://www.bilibili.com/video/BV1bf4y1A7Uw
虐杀原形,【虐杀原形】史上最最最最花里胡哨的操作合集,116.8万 ,2280,3.1万,8223,1.3万,1986,2020-04-17,https://www.bilibili.com/video/BV15e411s7yZ
虐杀原形,当你在2021年还在玩虐杀原形会发生什么？,8.7万 ,151,1542,98,140,78,2021-01-24,https://www.bilibili.com/video/BV15X4y1T7sR
虐杀原形,【糖蒜】一口气看完《虐杀原形1》全部剧情故事,10.4万 ,160,1457,430,874,34,2022-03-01,https://www.bilibili.com/video/BV1JL4y1378q
虐杀原形,虐杀原形资源下载以及常见问题解决方案,8.2万 ,44,1658,991,1850,250,2019-10-08,https://www.bilibili.com/video/BV1kE411Z78i
虐杀原形,大哥幽灵杀得多，在虐杀原形里变终极猎手怎么了,6.1万 ,68,2367,269,478,93,2022-04-09,https://www.bilibili.com/video/BV1fu411e7ZB
虐杀原形,虐杀原形1全新4K版安装游玩教程(附资源分享）,6.1万 ,37,1288,823,1368,261,2020-06-30,https://www.bilibili.com/video/BV1hT4y177fb
虐杀原形,【虐杀原形】中文全剧情电影版,6.9万 ,1213,2818,1479,2570,189,2020-07-05,https://www.bilibili.com/video/BV1QA411i79u
虐杀原形,【虐杀原形1】全技能演示,8.5万 ,383,877,212,964,269,2017-09-22,https://www.bilibili.com/video/BV1Nx411G7yK
虐杀原形,虐杀原形1通关后,78.1万 ,603,2.3万,2206,3201,340,2021-01-13,https://www.bilibili.com/video/BV13K411u7CK
虐杀原形,和虐杀原形一样爽快的单机游戏,7.8万 ,50,955,41,330,13,2021-03-31,https://www.bilibili.com/video/BV1d5411w7cm
虐杀原形,玩《虐杀原形》前必要知道的十个重要知识点,8.7万 ,521,4009,1389,1777,84,2019-10-12,https://www.bilibili.com/video/BV1vE411Z7vH
虐杀原形,虐杀原形1 流程攻略解说 【已完结】,4.6万 ,236,936,407,516,31,2019-02-20,https://www.bilibili.com/video/BV18b411Y7zd
虐杀原形,虐杀原形3有希望了！微软斥资700亿美金收购动视暴雪！,5.8万 ,46,2162,84,246,249,2022-01-18,https://www.bilibili.com/video/BV1MT4y127Dw
虐杀原形,【虐杀原形】我已不能被称之为”人“，但同时我也超越了”人“,37.8万 ,1602,6075,3177,8624,1093,2018-02-04,https://www.bilibili.com/video/BV1mW411H7fW
虐杀原形,【120FPS】兼容win10全新画质《虐杀原形》整合版通关流程-合集,3.2万 ,160,665,173,709,30,2021-12-03,https://www.bilibili.com/video/BV1tY411s7hG
虐杀原形,A哥有多强？《虐杀原形》那些必须知道的知识点,23.1万 ,1242,9312,2370,3322,276,2020-02-06,https://www.bilibili.com/video/BV1J7411H7up
虐杀原形,那些虐杀原形你所不知道的事情，99.99%的人都不知道！,3.9万 ,66,1519,217,601,24,2021-10-28,https://www.bilibili.com/video/BV1E3411y7bM
虐杀原形,虐杀原形1Hard+难度花式通关·1080P重置（已完结）,6.7万 ,1769,2647,1478,2053,92,2020-02-04,https://www.bilibili.com/video/BV1K7411p7NT
虐杀原形,大哥玩虐杀原形2快十年了，会变终结者怎么了,34.9万 ,150,1.6万,550,2702,317,2022-03-18,https://www.bilibili.com/video/BV1fb4y1H7TS
虐杀原形,大哥虐杀原形N周目了，变个钢铁终结者怎么了,17.4万 ,106,6714,489,1077,178,2022-03-24,https://www.bilibili.com/video/BV1Zb4y1p7Kq
虐杀原形,【游戏发展史】《虐杀原形》(2009～2021),22.1万 ,234,3176,54,536,56,2021-06-22,https://www.bilibili.com/video/BV11V411s7mp
虐杀原形,【虐杀原形】当伊丽莎白完全吞噬曼哈顿会发生什么？,47.9万 ,192,4235,68,422,29,2021-09-21,https://www.bilibili.com/video/BV1uf4y1A7JC
虐杀原形,虐杀原形美军VS僵尸感染特群,31.5万 ,431,5650,124,1511,26,2021-04-22,https://www.bilibili.com/video/BV1B64y1y7KZ
虐杀原形,分享完美版本的《虐杀原形1》一周目！兼容win10 支持4k（完结）,2.5万 ,98,723,536,798,99,2020-04-03,https://www.bilibili.com/video/BV1ee411x7ve
虐杀原形,微软将重置虐杀原形系列，部分动视暴雪老IP都将会重置。,50.3万 ,925,1.2万,1053,1736,1.3万,2022-01-31,https://www.bilibili.com/video/BV1q34y127fX
虐杀原形,【虐杀原形】幕后的惊人真相！A哥的求死之路！,142.0万 ,3472,5.8万,6.5万,2.8万,2684,2018-12-30,https://www.bilibili.com/video/BV1Tt41167PE
虐杀原形,【虐杀原形】完全体至猎（原作者witchblade）,2.2万 ,7,455,33,135,6,2021-11-08,https://www.bilibili.com/video/BV1ib4y187DZ
虐杀原形,【虐杀原形】你一定不知道的技巧&骚操作合集,11.6万 ,339,4726,2021,1783,82,2020-10-09,https://www.bilibili.com/video/BV1Uk4y1C7VW
虐杀原形,【虐杀原形2】困难难度一周目（已完结）,62.6万 ,1.4万,8583,4826,7398,644,2017-05-26,https://www.bilibili.com/video/BV1kx411Y73b
虐杀原形,【虐杀原形1重置版】一周目困难难度全流程（已完结）,2.5万 ,366,818,391,535,25,2021-10-06,https://www.bilibili.com/video/BV1Gf4y177rt
虐杀原形,虐杀原形2021完整版汉化（无跳出）完整教程（转自小黑盒源太子）,3.2万 ,78,441,173,448,71,2021-02-15,https://www.bilibili.com/video/BV1Go4y197bE
虐杀原形,"虐杀原形速通记录世界第一1小时57分,最快速度。",4.2万 ,734,1672,707,764,66,2020-03-13,https://www.bilibili.com/video/BV11E411L7L8
虐杀原形,【虐杀原形】二代造物主演示,7938 ,10,173,50,89,11,2021-12-16,https://www.bilibili.com/video/BV18i4y1d7Av
虐杀原形,A哥为什么要故意放水被黑叔杀死？揭秘《虐杀原形》A哥不为人知的故事【游戏英雄录】第N期,67.8万 ,2330,1.5万,2.0万,1.1万,1589,2018-06-28,https://www.bilibili.com/video/BV1Rs411V7e8
虐杀原形,虐杀原形 你没见过的隐藏武器，并启用它,1.0万 ,8,331,9,28,1,2022-01-23,https://www.bilibili.com/video/BV11u41117nQ
虐杀原形,震惊！我发现了虐杀原形3,15.7万 ,64,638,18,112,21,2018-10-12,https://www.bilibili.com/video/BV1Qt411f7GK
虐杀原形,测试/AI修复4k120帧/虐杀原形开场动画,16.0万 ,230,6784,1086,3708,678,2020-12-27,https://www.bilibili.com/video/BV1vT4y1K7zV
虐杀原形,（PC游戏）虐杀原形1代 HD高清重置版 光线追踪 不灭的经典+资源下载 REMASTRED,5.9万 ,67,1449,167,1068,75,2021-08-07,https://www.bilibili.com/video/BV1vg411L7TQ
