game_name,title,view,dm,like,coin,collect,share,upload_date,url
风暴英雄,这就是《风暴英雄》这个游戏的现状，看看到底是谁毁了这个游戏。,17.0万 ,514,855,46,69,73,2020-03-06,https://www.bilibili.com/video/BV1gE411W7VJ
风暴英雄,第一人出走LOL，开发彻底停滞，微软真的能拯救风暴英雄吗？【Nova的暴雪深度杂谈#3】,13.6万 ,850,4138,1827,831,533,2022-02-12,https://www.bilibili.com/video/BV12a411y77C
风暴英雄,【风暴英雄】滑稽时刻第96期：死去的恶灵突然开始攻击我！,5.5万 ,852,5473,4085,710,324,2022-04-01,https://www.bilibili.com/video/BV13Z4y1U7ma
风暴英雄,【大族视频】如何快速上手入门风暴英雄教学视频,1.6万 ,34,442,238,217,83,2019-11-16,https://www.bilibili.com/video/BV1zJ411U73P
风暴英雄,有人问我:“你为什么还在玩风暴英雄？”,2.3万 ,73,1065,302,117,57,2022-02-15,https://www.bilibili.com/video/BV1434y1C7ms
风暴英雄,风暴英雄新英雄：大领主提里奥弗丁-2022年首次更新，游戏角色DIY,3.8万 ,41,603,206,60,101,2022-01-01,https://www.bilibili.com/video/BV1hi4y1X7bi
风暴英雄,【风暴英雄】偷风窃雨的英雄教学 阿尔萨斯教学,1.5万 ,56,707,312,125,23,2022-03-17,https://www.bilibili.com/video/BV1rr4y1B7hu
风暴英雄,《风暴英雄》CG动画合集（已更新小美）,62.1万 ,5831,3402,1655,1.4万,2916,2017-01-22,https://www.bilibili.com/video/BV14s411b7RF
风暴英雄,【中国网游史76】万众期待的MOBA游戏风暴英雄，为何如此难火？,87.4万 ,6892,4.3万,1.6万,5813,2410,2020-12-30,https://www.bilibili.com/video/BV1N5411p7bJ
风暴英雄,【风暴英雄是一个可以靠个人能力Carry的游戏】从零单排最终章,5079 ,22,136,54,36,19,2022-04-05,https://www.bilibili.com/video/BV1oY4y1v75Q
风暴英雄,【游戏杂谈】《风暴英雄》是如何被《王者荣耀》悉数抄袭的,15.7万 ,3771,2150,3807,2007,1768,2017-03-31,https://www.bilibili.com/video/BV1ux411Q7N6
风暴英雄,风暴英雄的这个英雄王者荣耀抄了三年！抄了六次！终于抄完了？！王者荣耀猪八戒技能曝光后！引发风暴英雄玩家集体质疑！一个英雄能分成六次六个来抄！,15.7万 ,367,1815,424,360,339,2018-12-28,https://www.bilibili.com/video/BV1et411r7ST
风暴英雄,「王者荣耀」到底抄了「风暴英雄」多少技能【侃游戏】,20.6万 ,1502,2324,3420,1905,2259,2017-03-15,https://www.bilibili.com/video/BV1Wx411r7Lt
风暴英雄,[风暴英雄]风暴英雄最帅大招TOP10(特效向),6.4万 ,514,425,143,123,171,2019-01-29,https://www.bilibili.com/video/BV1kb411C7eJ
风暴英雄,六月：风暴英雄不欢迎爷新，有些话不吐不快！,1.5万 ,158,837,417,85,74,2022-03-24,https://www.bilibili.com/video/BV1eu411q7Ta
风暴英雄,【No总】风暴英雄2.0 新手教学系列-常用专业英雄,16.4万 ,1814,382,539,518,166,2017-05-12,https://www.bilibili.com/video/BV1kx411e7JK
风暴英雄,"[纯干货][零基础]献给英雄联盟,DOTA2,王者荣耀，csgo，apex玩家的风暴英雄入门教学,请把它推给你最好的朋友",3.7万 ,638,2133,1022,500,180,2022-01-30,https://www.bilibili.com/video/BV1La41127jk
风暴英雄,【雨天风暴】风暴英雄游戏设置、走A基本操作指南,3.4万 ,157,1705,1410,1157,164,2020-04-07,https://www.bilibili.com/video/BV1iK41177Zw
风暴英雄,【风暴英雄】195级瓦莉拉是什么样的,5.9万 ,178,412,258,146,98,2019-01-04,https://www.bilibili.com/video/BV1bt411x7DW
风暴英雄,【风暴英雄】偷风窃雨的英雄教学 猎空教学,1.1万 ,36,566,271,89,18,2022-01-06,https://www.bilibili.com/video/BV1jP4y1E7Jm
风暴英雄,这就是风暴英雄的辅助！！！！,2.6万 ,17,365,47,32,264,2022-01-24,https://www.bilibili.com/video/BV1Wm4y1S7hR
风暴英雄,【风暴英雄】大魔王Rich精彩集锦,11.1万 ,127,670,29,123,163,2018-01-05,https://www.bilibili.com/video/BV14W411B77k
风暴英雄,【风暴英雄】被削了N次的大表哥/死亡之翼现状,8.4万 ,96,547,33,62,19,2020-05-26,https://www.bilibili.com/video/BV1mV411C78H
风暴英雄,【Gemini】风暴英雄职业选手郭家毅比赛合集,9.8万 ,394,1540,175,1131,196,2020-03-10,https://www.bilibili.com/video/BV1JE411T71a
风暴英雄,风暴英雄宣传片 8K超清重制,9.0万 ,182,941,147,923,279,2019-12-20,https://www.bilibili.com/video/BV14J411t7VH
风暴英雄,【风暴英雄】神作？对比LOL科学分析风暴英雄的优势和劣势,7.9万 ,770,3722,2984,960,231,2019-07-09,https://www.bilibili.com/video/BV1Z4411F7gp
风暴英雄,【风暴英雄】滑稽时刻第94期：玩得好，下次别玩了。,7.1万 ,907,5166,3276,605,231,2021-10-31,https://www.bilibili.com/video/BV1jq4y1r7N9
风暴英雄,【风暴英雄】2022.3.30 更新版本速看,7120 ,45,153,40,11,43,2022-03-30,https://www.bilibili.com/video/BV14i4y1Q7Gv
风暴英雄,【死亡议会】风暴英雄所有状态、增益减益超详细解析，干货满满,1.3万 ,82,1156,840,284,79,2022-03-25,https://www.bilibili.com/video/BV1C3411p7w9
风暴英雄,大批外国玩家建议微软：救救风暴英雄吧！ 求求了！,2.4万 ,57,538,64,47,95,2022-01-30,https://www.bilibili.com/video/BV1zL4y1W715
风暴英雄,风 暴 英 雄 青 壮 年 模 式,35.9万 ,189,9947,3623,2615,804,2021-01-25,https://www.bilibili.com/video/BV1Ff4y1C7FG
风暴英雄,《风暴英雄》雷诺英雄更新,13.6万 ,371,1449,394,173,872,2018-06-29,https://www.bilibili.com/video/BV1js41157KR
风暴英雄,《魔兽争霸3重制版》对比《风暴英雄》技能特效，第二期！,7.3万 ,146,486,146,89,77,2019-10-19,https://www.bilibili.com/video/BV1jE411k7v5
风暴英雄,【风暴英雄】这是古尔丹新手教学哦,1.3万 ,23,532,141,70,24,2022-03-15,https://www.bilibili.com/video/BV173411s7u3
风暴英雄,《风暴英雄》动画短片 - 烈焰浇铸,24.5万 ,1177,831,1426,1904,1427,2016-11-05,https://www.bilibili.com/video/BV1Vs411x7eL
风暴英雄,【风暴英雄】【星际2】新英雄“感染者”来到了时空枢纽！,18.1万 ,338,2627,1305,512,491,2019-08-20,https://www.bilibili.com/video/BV1D4411R7aH
风暴英雄,【风暴英雄】全英雄调侃中文语音及终极技能展示(更新至医护兵),46.1万 ,2.1万,661,1297,5922,460,2014-10-26,https://www.bilibili.com/video/BV1px411P7x5
风暴英雄,【爆笑风暴】83 和谐友爱一家人,336.1万 ,2.4万,2.6万,1.7万,4.1万,2.2万,2015-06-07,https://www.bilibili.com/video/BV1xs411U7tC
风暴英雄,【风暴英雄】技能无缝衔接，是如此炫酷！视觉盛宴！极致踩点！,10.0万 ,234,8378,9517,2349,582,2020-02-18,https://www.bilibili.com/video/BV1Q741177db
风暴英雄,【风暴英雄】滑稽时刻第95期：论卡位的重要性~,6.4万 ,1267,6282,4902,873,349,2021-12-14,https://www.bilibili.com/video/BV1iR4y1x7ja
风暴英雄,听说王者荣耀有英雄跟某moba里的技能一模一样？【王者荣耀】【风暴英雄】,18.3万 ,459,3728,934,785,1201,2021-06-21,https://www.bilibili.com/video/BV1xV411s75m
风暴英雄,【风暴英雄】这是新手吉安娜必知教学哦,2.1万 ,88,1097,392,95,36,2021-10-31,https://www.bilibili.com/video/BV11Q4y1S7qV
风暴英雄,【风暴英雄】《乳 量 霸 凌》,2.8万 ,39,1682,424,284,678,2022-02-23,https://www.bilibili.com/video/BV1cm4y1R7tb
风暴英雄,想说说风暴英雄天梯这恶劣环境的问题【强烈风暴玩家观看】,5190 ,33,173,75,23,50,2022-03-29,https://www.bilibili.com/video/BV1S94y1f7vN
风暴英雄,风暴英雄和Dota2相似英雄建模对比重制版,8.5万 ,4998,317,221,976,464,2017-05-05,https://www.bilibili.com/video/BV1Ax411m7rT
风暴英雄,【风暴英雄】5分钟了解一张地图——炼狱圣坛,1541 ,20,206,111,25,12,2022-04-11,https://www.bilibili.com/video/BV1s44y1V79H
风暴英雄,匹配到一个2500场的瓦莉拉操作犹如开挂一般-精彩风暴英雄操作集锦,7.1万 ,73,708,310,183,88,2019-10-20,https://www.bilibili.com/video/BV1UE41167wv
风暴英雄,风暴英雄不同位置自己和队友眼中的印象,2.3万 ,151,996,147,64,44,2022-01-21,https://www.bilibili.com/video/BV1QT4y1C76X
风暴英雄,【风暴英雄】这是火蝠新手教学哦,2.2万 ,36,569,121,86,21,2022-01-19,https://www.bilibili.com/video/BV1p3411Y7PE
风暴英雄,【NO总】风暴英雄新手排位教程day7(已接近钻石段位）,9.1万 ,2055,96,430,296,131,2017-05-15,https://www.bilibili.com/video/BV1Zx411e7PC
风暴英雄,《风暴英雄》机甲风暴,25.2万 ,859,3122,5321,3082,6220,2018-01-17,https://www.bilibili.com/video/BV1nW411v7t5
风暴英雄,【scboy】黄哥锐评风暴英雄问题所在，这波分析有无道理？,2.5万 ,54,238,4,50,75,2022-01-25,https://www.bilibili.com/video/BV1Jb4y1n71Q
风暴英雄,风暴英雄偷家真是太过瘾啦 双虫子开局一分钟直接偷外堡,5.7万 ,37,494,12,38,178,2021-06-19,https://www.bilibili.com/video/BV1yV41147r8
风暴英雄,风暴英雄 各种BGM大汇总 风暴要火！！！！,5.7万 ,1154,825,880,2987,394,2017-05-31,https://www.bilibili.com/video/BV1jx411e7Lw
风暴英雄,《风暴英雄》技能介绍 - 瓦莉拉（中文）,12.5万 ,793,258,371,275,260,2017-01-24,https://www.bilibili.com/video/BV1Bs411b79t
风暴英雄,【风暴英雄】死亡之翼！实战试玩（+全技能介绍）我们现在都是大灾变了！,25.4万 ,1406,1162,110,204,1012,2019-10-23,https://www.bilibili.com/video/BV16E41127c8
风暴英雄,轮到风暴英雄来给你洗脑了！,2.0万 ,48,1914,1233,367,144,2021-12-31,https://www.bilibili.com/video/BV1ML4y1J7Yd
风暴英雄,无论如何都不会放弃风暴英雄，快把泪目打在公屏上！！（下篇）,4.2万 ,263,2727,1512,384,248,2022-03-20,https://www.bilibili.com/video/BV1zL4y1M7dN
风暴英雄,腾讯「宝可梦大集结」火了！暴雪「风暴英雄」要哭了？【侃游戏】,4.7万 ,547,1427,109,137,107,2021-10-26,https://www.bilibili.com/video/BV1xP4y1L7wg
风暴英雄,《风暴英雄》清凉夏日,14.0万 ,392,667,1070,807,1214,2017-06-28,https://www.bilibili.com/video/BV1rx41167oh
风暴英雄,【极游杂谈】《风暴英雄》“凉”下来的一个月里都发生了些什么？,3.8万 ,456,1333,1386,592,354,2019-01-18,https://www.bilibili.com/video/BV1jt411a7HC
风暴英雄,风暴英雄脸都不要了！,9736 ,12,549,167,51,89,2022-02-13,https://www.bilibili.com/video/BV1aF411E7dA
风暴英雄,【风暴英雄】WP and Funny Moments 2021年合集 （总 EP.251 ~ EP.282 2021.12.30更新）,5.3万 ,1433,1416,853,346,305,2021-01-08,https://www.bilibili.com/video/BV1eT4y1N7R8
风暴英雄,《风暴英雄》奥菲娅技能预览,18.2万 ,781,1829,917,544,2463,2018-11-03,https://www.bilibili.com/video/BV1jb411w7hf
风暴英雄,【风暴英雄】国服-全英雄全皮肤商城坐骑展示,11.0万 ,8927,55,165,583,17,2014-10-20,https://www.bilibili.com/video/BV1Lx411P7Ha
风暴英雄,【风暴英雄】暴雪动画师最爱的风暴动画！By Lana Bachynski,4.8万 ,94,1574,702,1764,329,2018-12-22,https://www.bilibili.com/video/BV1Qt411Y71e
风暴英雄,风暴英雄2022年3月补丁-合理但没有新意,3225 ,4,133,31,12,13,2022-03-30,https://www.bilibili.com/video/BV1UT4y1i7SQ
