game_name,title,view,dm,like,coin,collect,share,upload_date,url
魔兽世界,2021年了，该如何入坑《魔兽世界》？【WOW新手入坑指南-正式服向】,47.7万 ,1744,8973,4888,5217,1985,2021-04-30,https://www.bilibili.com/video/BV1w64y117Ge
魔兽世界,PDD展示自己魔兽世界新出的蛋刀 这也太帅了吧,16.2万 ,173,1528,1832,509,266,2022-02-22,https://www.bilibili.com/video/BV1RY411V7Ja
魔兽世界,【WOW】魔兽世界各版本动画CG合集（全）- 暴雪电影制片厂出品1080P（已更新9.0暗影国度）,223.5万 ,2.8万,2.2万,9953,4.8万,1.4万,2017-12-04,https://www.bilibili.com/video/BV1AW411Y7NA
魔兽世界,【高清重制】亡灵序曲-史上最给力最震撼版,531.7万 ,3.1万,9.8万,5.7万,13.9万,1.7万,2017-04-17,https://www.bilibili.com/video/BV1bx411D7DY
魔兽世界,官网泄露：魔兽世界10.0--Dragonflight，爆5大职业前瞻,9.6万 ,304,811,82,84,948,2022-04-04,https://www.bilibili.com/video/BV135411D7Dz
魔兽世界,《魔兽世界》是你这辈子一定要试试的游戏，看完你就不会反驳···,40.4万 ,3101,2.4万,1.9万,7444,7070,2020-10-14,https://www.bilibili.com/video/BV1ay4y1C7zV
魔兽世界,【老司机】9.2独狼必看，魔兽想要毕业，不再难！（魔兽世界9.2永恒的终结）,13.8万 ,97,2286,769,719,111,2022-02-22,https://www.bilibili.com/video/BV1MY41157Gi
魔兽世界,【魔兽世界】从零开始的新手入坑不完全指南·序章,63.4万 ,1916,3783,1401,2397,881,2019-01-28,https://www.bilibili.com/video/BV1Yt411t7Jj
魔兽世界,魔兽世界沙丘现状2,13.9万 ,112,647,70,161,3339,2022-02-27,https://www.bilibili.com/video/BV1L3411j7Gq
魔兽世界,【夏一可】魔兽世界9.2攻略：初诞者圣墓合集（已完结）,57.3万 ,3797,1.1万,7018,3701,3926,2022-02-20,https://www.bilibili.com/video/BV1pZ4y1k73u
