game_name,title,view,dm,like,coin,collect,share,upload_date,url
魔兽争霸,年度超级皇冠之战，5级剑圣380攻击，120极限硬刚！魔兽争霸3,8.6万 ,487,1961,574,367,117,2021-12-19,https://www.bilibili.com/video/BV1Mi4y1o7V7
魔兽争霸,魔兽十大经典战役,63.7万 ,1.1万,2833,3460,1.3万,928,2017-04-23,https://www.bilibili.com/video/BV1px411U7rc
魔兽争霸,魔兽争霸3：游戏大神用人族单挑11个疯狂电脑！当年我一个也打不过，大神既然单挑11个，膜拜！,61.6万 ,1.2万,5225,1388,3998,2228,2018-10-16,https://www.bilibili.com/video/BV1dt411Z7Nw
魔兽争霸,魔兽争霸3重置版 战役合集（全收集 困难反和谐 无解说 英配中字）完结,33.9万 ,1.4万,5486,5262,6002,288,2020-02-03,https://www.bilibili.com/video/BV1F7411p78e
魔兽争霸,细说最弱种族亡灵到底弱在哪？----魔兽争霸,15.0万 ,385,2363,305,526,45,2022-01-18,https://www.bilibili.com/video/BV163411Y7ps
魔兽争霸,魔兽争霸：冰封王座【电影版】,40.7万 ,6454,1.3万,7712,1.1万,1054,2020-02-26,https://www.bilibili.com/video/BV1M7411M7ws
魔兽争霸,魔兽争霸：暴雪额外设计了8个种族？它们综合实力究竟如何？,40.2万 ,1501,1.4万,6505,5064,523,2021-01-23,https://www.bilibili.com/video/BV1to4y1R7fn
魔兽争霸,【魔兽争霸地图】四万张魔兽地图包20G大小（附下载链接）,4.9万 ,0,2147,2110,4115,489,2022-02-27,https://www.bilibili.com/video/BV19Z4y1k7fx
魔兽争霸,5分钟教你学会《魔兽争霸3》的玩法和思路【魔兽争霸3新手教学第二期】,12.0万 ,532,7995,5358,1513,210,2021-11-12,https://www.bilibili.com/video/BV1sq4y1k7kh
魔兽争霸,【魔兽争霸】魔兽从零教学 人族基础篇（开局及各族打法）,24.1万 ,1828,4159,2716,4041,819,2018-03-02,https://www.bilibili.com/video/BV1wW411x7t1
魔兽争霸,魔兽争霸 3 里小兵说的是什么？ 苦工篇,30.6万 ,994,4245,2861,1223,615,2018-01-09,https://www.bilibili.com/video/BV1YW411i7rn
魔兽争霸,2021年度最强之战，Fly挑战世界第一，Happy极限拉扯！魔兽争霸3,7.5万 ,518,1742,677,310,126,2021-12-14,https://www.bilibili.com/video/BV1KQ4y1v7vn
魔兽争霸,【魔兽争霸3】首发娜迦？看我人族如何暴打精灵！,26.8万 ,940,1.0万,3336,684,462,2020-07-13,https://www.bilibili.com/video/BV18Z4y1u7CQ
魔兽争霸,巅峰对决，世界第一 vs 世界第二，打的就是极限！魔兽争霸3,2.0万 ,116,587,97,44,12,2022-04-09,https://www.bilibili.com/video/BV163411J72G
魔兽争霸,魔兽争霸3 大帝解说 百大经典战役 第3名 Moon vs TH000 TM,30.6万 ,3326,1657,659,1094,479,2014-08-06,https://www.bilibili.com/video/BV1Sx411N78y
魔兽争霸,这才是魔兽争霸重置版应该有的画质！（结尾附对比视频）,28.4万 ,379,3927,999,1401,580,2021-01-14,https://www.bilibili.com/video/BV18K411u7pT
魔兽争霸,0人口如何翻盘？看Moon神级表演！2021年度最佳 魔兽争霸,22.7万 ,1010,4483,1190,1010,1364,2021-11-14,https://www.bilibili.com/video/BV1rb4y1t78Z
魔兽争霸,魔兽争霸3 冰封王座 战役剧情流程解说,71.2万 ,1.8万,7347,5437,8318,567,2017-04-21,https://www.bilibili.com/video/BV1cx411U7kd
魔兽争霸,【魔兽争霸3】单挑23个疯狂的电脑！有可能胜利？,29.3万 ,4341,1272,246,795,372,2018-07-15,https://www.bilibili.com/video/BV1Rs411J7H5
魔兽争霸,【炉石史册番外】魔兽争霸3的回忆：它为何能成为一个时代？,38.0万 ,4202,3.0万,1.6万,4665,1226,2020-04-13,https://www.bilibili.com/video/BV1uT4y1G7uF
魔兽争霸,魔兽争霸：22种单机秘籍详解，滚瓜烂熟的代码暗藏多少细节？,16.5万 ,730,7946,4024,2417,132,2021-01-13,https://www.bilibili.com/video/BV1uT4y1K7W1
魔兽争霸,魔兽争霸：十级野怪究竟设计了多少个？作为野怪的巅峰，实力如何？,54.0万 ,1321,1.7万,5774,2816,332,2020-11-03,https://www.bilibili.com/video/BV1yT4y1F7Yp
魔兽争霸,魔兽争霸女角色颜值大赏【这游戏卖给我属实是亏了】,1.6万 ,127,496,74,188,6,2022-03-30,https://www.bilibili.com/video/BV1fu411v7m7
魔兽争霸,魔兽争霸：娜迦族全单位建筑详解，为何实战中不能使用娜迦族？,47.9万 ,1821,1.4万,3584,2501,273,2020-10-21,https://www.bilibili.com/video/BV18V411y7Cm
魔兽争霸,魔兽争霸3 混乱之治 战役剧情解说,59.2万 ,2.3万,5669,5276,6329,470,2017-02-18,https://www.bilibili.com/video/BV1wx411y7W1
魔兽争霸,【魔兽争霸3】开局三农民，这把三分钟解决对面~,44.8万 ,882,6861,861,650,926,2020-09-07,https://www.bilibili.com/video/BV1y54y1C7cG
魔兽争霸,基本可以宣布了 魔兽争霸xiaoy解说lyn chaemiko,7934 ,56,627,94,26,5,2022-04-11,https://www.bilibili.com/video/BV1Cq4y1a773
魔兽争霸,魔兽争霸：顶尖的装备设计了多少个？它们对英雄的提升究竟如何？,28.8万 ,796,8573,2680,1126,106,2020-12-05,https://www.bilibili.com/video/BV1pt4y1Y7t5
魔兽争霸,【Sky的魔兽争霸3】古树流！古树大战亡灵！,6.6万 ,1028,2727,1024,230,95,2022-03-19,https://www.bilibili.com/video/BV1yL4y1T7Y3
魔兽争霸,这或许才是梦中想象的《魔兽争霸3：重制版》,89.5万 ,2991,1.3万,2321,6842,4738,2019-12-25,https://www.bilibili.com/video/BV1BJ411W7wE
魔兽争霸,【魔兽争霸3】角色及配音演员,25.7万 ,5237,6854,4845,6547,1314,2018-11-17,https://www.bilibili.com/video/BV1xt411m7eR
魔兽争霸,魔兽争霸:人族单位真实比例. 异族的恐怖你无法想象,51.5万 ,2037,2469,666,1139,134,2018-06-21,https://www.bilibili.com/video/BV19s411j7gq
魔兽争霸,魔兽争霸-最后的避难所单人写实打异形，太穷了，最后没子弹穷死了,8529 ,3,151,24,69,25,2022-04-02,https://www.bilibili.com/video/BV1A5411D7en
魔兽争霸,【HD】【2012年魔兽争霸3十大经典战役 第1位】人皇无情暴力压制 蛋总险情千钧一发 Sky vs TH000 TM,32.2万 ,1107,1522,156,605,174,2018-11-30,https://www.bilibili.com/video/BV1Pt411X7Na
魔兽争霸,《魔兽争霸3：重制版》何以成为史上玩家评分最低的游戏？,22.0万 ,2085,7290,4068,1665,586,2020-02-20,https://www.bilibili.com/video/BV1V7411P76c
魔兽争霸,山寨闪电球 魔兽争霸xiaoy解说lyn happy,1.3万 ,100,862,123,45,2,2022-04-10,https://www.bilibili.com/video/BV1K3411n79C
